연도별,광산수,재해횟수,사망,중상,경상
1979,,5776,247,2493,3361
1980,,6529,187,2708,3757
1981,1036,6550,226,2809,3671
1982,1094,5879,199,2545,3240
1983,1097,5467,190,2459,2946
1984,1200,5883,193,2556,3271
1985,1191,6216,205,2605,3551
1986,1177,6508,193,2873,3565
1987,1157,6284,191,2799,3388
1988,1089,6050,173,2822,3172
1989,958,5272,132,2436,2817
1990,798,4108,130,2117,1951
1991,711,3066,90,1740,1314
1992,439,2078,90,1108,944
1993,436,1485,68,655,809
1994,411,901,53,507,374
1995,403,528,29,336,175
1996,378,350,31,229,103
1997,378,330,25,215,102
1998,371,242,15,162,66
1999,439,174,17,100,62
2000,602,172,12,69,96
2001,599,139,21,56,72
2002,593,88,17,38,44
2003,434,59,11,28,40
2004,450,65,9,24,39
2005,492,42,5,18,22
2006,472,43,1,14,28
2007,464,81,6,41,38
2008,451,59,4,29,26
2009,422,63,10,25,29
2010,422,57,7,24,26
2011,441,47,5,24,19
2012,416,54,9,25,26
2013,416,57,6,27,24
2014,371,32,4,17,13
2015,378,32,5,16,11
2016,362,37,6,19,15
2017,375,26,5,15,12
2018,355,32,7,20,10
2019,330,34,4,22,13
2020,310,22,6,13,4
2021,325,24,3,16,5
2022,328,30,4,19,11
2023,322,22,2,13,7
2024,305,27,3,19,6
