연도,광종분류,광종,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남
2012,금속광,"금,은,동,연,아연",0,3,0,6,0,0,3,0,55,255,128,88,59,66,155,86
2012,금속광,"철,망간",0,0,0,1,0,0,2,0,15,73,10,5,3,1,5,3
2012,금속광,우라늄,0,0,0,0,0,6,0,0,2,0,24,20,0,0,17,0
2012,금속광,기타,1,0,0,8,0,0,4,0,4,59,31,15,38,5,31,29
2012,비금속광,"석탄,흑연",0,0,0,0,0,0,0,0,11,51,5,5,0,17,6,1
2012,비금속광,"규석,장석",0,0,1,15,2,0,0,0,157,236,145,145,110,73,87,27
2012,비금속광,석회석,0,0,0,1,0,0,0,0,20,905,303,31,28,30,134,0
2012,비금속광,"고령토,규조토",0,0,3,2,6,0,17,0,46,71,25,162,108,212,287,261
2012,비금속광,납석,0,1,0,0,0,0,2,0,2,11,16,1,1,32,32,6
2012,비금속광,활석,0,0,0,0,0,0,0,0,2,10,22,10,3,0,6,0
2012,비금속광,운모,0,0,0,0,0,0,0,0,7,38,37,48,7,0,34,1
2012,비금속광,규사,0,0,0,0,0,0,0,0,2,7,0,61,1,30,27,0
2012,비금속광,기타,0,0,0,0,0,0,11,0,4,14,8,13,2,2,69,3
2013,금속광,"금,은,동,연,아연",0,4,0,4,0,0,3,0,51,234,133,89,54,59,149,76
2013,금속광,"철,망간",0,0,0,1,0,0,2,0,13,69,11,6,3,1,5,3
2013,금속광,우라늄,0,0,0,0,0,6,0,0,2,0,19,14,0,0,0,0
2013,금속광,기타,1,0,0,7,0,0,4,0,4,60,36,13,37,3,20,25
2013,비금속광,"석탄,흑연",0,0,0,0,0,0,0,0,11,52,5,7,0,18,6,1
2013,비금속광,"규석,장석",0,0,1,13,2,0,0,0,127,227,144,115,115,67,93,25
2013,비금속광,석회석,0,0,0,1,0,0,0,0,17,881,294,27,27,30,120,0
2013,비금속광,"고령토,규조토",0,0,3,2,2,0,17,0,37,67,26,161,109,181,276,245
2013,비금속광,납석,0,0,0,0,0,0,2,0,2,15,16,1,1,31,32,6
2013,비금속광,활석,0,0,0,0,0,0,0,0,0,12,22,9,3,0,4,0
2013,비금속광,운모,0,0,0,0,0,0,0,0,8,36,37,47,7,0,30,1
2013,비금속광,규사,0,0,0,0,0,0,0,0,2,7,0,61,1,25,27,0
2013,비금속광,기타,0,1,0,0,0,0,11,0,3,16,10,14,1,1,81,3
2014,금속광,"금,은,동,연,아연",0,3,0,2,0,0,1,0,43,218,126,85,53,52,138,66
2014,금속광,"철,망간",0,0,0,0,0,0,2,0,13,61,10,6,3,2,4,4
2014,금속광,우라늄,0,0,0,0,0,6,0,0,0,0,19,14,0,0,0,0
2014,금속광,기타,1,0,0,7,0,0,4,0,2,52,35,9,35,3,28,24
2014,비금속광,"석탄,흑연",0,0,0,0,0,0,0,0,12,53,5,10,0,17,6,1
2014,비금속광,"규석,장석",0,0,1,15,0,0,0,0,98,189,128,103,111,61,90,21
2014,비금속광,석회석,0,0,0,1,0,0,0,0,14,877,296,26,22,34,111,0
2014,비금속광,"고령토,규조토",0,0,1,2,1,0,17,0,37,64,26,163,102,162,263,240
2014,비금속광,납석,0,1,0,0,0,0,2,0,2,15,16,1,2,31,32,5
2014,비금속광,활석,0,0,0,0,0,0,0,0,0,15,18,9,2,0,2,0
2014,비금속광,운모,0,0,0,0,0,0,0,0,6,28,39,23,6,0,26,1
2014,비금속광,규사,0,0,0,0,0,0,0,0,2,7,0,61,1,25,26,0
2014,비금속광,기타,0,0,0,0,0,0,11,0,3,15,6,12,1,1,68,3
2015,금속광,"금,은,동,연,아연",0,3,0,2,0,0,1,0,44,189,109,85,27,45,112,59
2015,금속광,"철,망간",0,0,0,0,0,0,2,0,11,53,7,3,3,2,2,2
2015,금속광,우라늄,0,0,0,0,0,6,0,0,0,0,19,11,0,0,0,0
2015,금속광,기타,1,0,0,6,0,0,4,0,2,30,29,8,38,1,30,19
2015,비금속광,"석탄,흑연",0,0,0,0,0,0,0,0,12,53,7,9,0,21,4,2
2015,비금속광,"규석,장석",0,0,1,15,0,0,0,0,90,176,110,79,100,75,74,15
2015,비금속광,석회석,0,0,0,1,0,0,0,0,8,952,314,24,21,31,96,0
2015,비금속광,"고령토,규조토",0,0,1,3,1,0,17,0,34,56,25,154,101,154,251,240
2015,비금속광,납석,0,1,0,0,0,0,2,0,1,12,13,1,1,31,32,5
2015,비금속광,활석,0,0,0,0,0,0,0,0,0,15,21,8,2,0,3,0
2015,비금속광,운모,0,0,0,0,0,0,0,0,5,25,36,18,6,0,26,1
2015,비금속광,규사,0,0,0,0,0,0,0,0,2,7,0,55,0,26,26,1
2015,비금속광,기타,0,0,0,0,0,0,11,0,1,13,7,7,1,1,64,3
2016,금속광,"금,은,동,연,아연",0,3,0,0,0,0,0,0,39,176,95,82,28,49,121,65
2016,금속광,"철,망간",0,0,0,0,0,0,2,0,11,52,2,3,3,1,2,3
2016,금속광,우라늄,0,0,0,0,0,6,0,0,0,0,21,10,0,0,0,0
2016,금속광,기타,1,0,0,4,0,0,4,0,2,34,32,6,38,1,28,19
2016,비금속광,"석탄,흑연",0,0,0,0,0,0,0,0,11,53,7,9,0,21,4,2
2016,비금속광,"규석,장석",0,0,1,13,0,0,0,0,98,174,101,76,88,73,73,16
2016,비금속광,석회석,0,0,0,1,0,0,0,0,7,977,316,30,22,29,99,0
2016,비금속광,"고령토,규조토",0,0,1,3,1,0,17,0,22,54,25,149,99,160,240,236
2016,비금속광,납석,0,1,0,0,0,0,2,0,1,12,11,1,1,31,28,6
2016,비금속광,활석,0,0,0,0,0,0,0,0,0,14,19,6,2,0,3,0
2016,비금속광,운모,0,0,0,0,0,0,0,0,5,22,37,17,1,0,25,1
2016,비금속광,규사,0,0,0,0,0,0,0,0,2,7,0,55,0,26,26,0
2016,비금속광,기타,0,0,0,0,0,0,11,0,1,12,8,7,1,1,64,3
2017,금속광,"금,은,동,연,아연",0,3,0,0,0,0,0,0,40,179,97,83,31,59,131,77
2017,금속광,"철,망간",0,0,0,0,0,0,2,0,11,50,2,3,3,1,3,1
2017,금속광,우라늄,0,0,0,0,0,6,0,0,0,0,21,10,0,0,0,0
2017,금속광,기타,1,0,0,4,0,0,4,0,2,34,29,4,37,1,31,1
2017,비금속광,"석탄,흑연",0,0,0,0,0,0,0,0,13,52,7,12,0,21,4,2
2017,비금속광,"규석,장석",0,0,1,11,0,0,0,0,98,187,106,81,90,69,71,22
2017,비금속광,석회석,0,0,0,1,0,0,0,0,7,988,321,31,21,28,103,0
2017,비금속광,"고령토,규조토",0,0,1,3,1,0,17,0,22,52,25,150,101,162,247,229
2017,비금속광,납석,0,2,0,0,0,0,2,0,1,13,11,1,1,30,28,8
2017,비금속광,활석,0,0,0,0,0,0,0,0,0,12,19,8,2,0,3,0
2017,비금속광,운모,0,0,0,0,0,0,0,0,5,26,42,20,1,0,27,1
2017,비금속광,규사,0,0,0,0,0,0,0,0,2,7,0,57,0,26,26,0
2017,비금속광,기타,0,0,0,0,0,0,10,0,1,12,8,8,1,1,64,1
2018,금속광,"금,은,동,연,아연",0,3,0,0,0,0,0,0,40,179,97,83,31,59,131,77
2018,금속광,"철,망간",0,0,0,0,0,0,2,0,11,50,2,3,3,1,3,1
2018,금속광,우라늄,0,0,0,0,0,6,0,0,0,0,21,10,0,0,0,0
2018,금속광,기타,1,0,0,4,0,0,4,0,2,34,29,4,37,1,31,1
2018,비금속광,"석탄,흑연",0,0,0,0,0,0,0,0,13,52,7,12,0,21,4,2
2018,비금속광,"규석,장석",0,0,1,11,0,0,0,0,98,187,106,81,90,69,71,22
2018,비금속광,석회석,0,0,0,1,0,0,0,0,7,988,321,31,21,28,103,0
2018,비금속광,"고령토,규조토",0,0,1,3,1,0,17,0,22,52,25,150,101,162,247,229
2018,비금속광,납석,0,2,0,0,0,0,2,0,1,13,11,1,1,30,28,8
2018,비금속광,활석,0,0,0,0,0,0,0,0,0,12,19,8,2,0,3,0
2018,비금속광,운모,0,0,0,0,0,0,0,0,5,26,42,20,1,0,27,1
2018,비금속광,규사,0,0,0,0,0,0,0,0,2,7,0,57,0,26,26,0
2018,비금속광,기타,0,0,0,0,0,0,10,0,1,12,8,8,1,1,64,1
2019,금속광,"금,은,동,연,아연",0,3,0,0,0,0,2,0,52,176,88,83,35,60,125,75
2019,금속광,"철,망간",0,0,0,0,0,0,2,0,11,48,2,3,3,1,2,1
2019,금속광,우라늄,0,0,0,0,0,5,0,0,0,0,8,6,0,0,0,0
2019,금속광,기타,1,0,0,3,0,0,4,0,1,33,27,4,37,1,31,2700
2019,비금속광,"석탄,흑연",0,0,0,0,0,0,0,0,15,49,7,20,0,21,3,276
2019,비금속광,"규석,장석",0,0,1,11,0,0,0,0,109,188,97,78,102,60,73,2137
2019,비금속광,석회석,0,0,0,1,0,0,0,0,7,987,326,32,22,28,107,148
2019,비금속광,"고령토,규조토",0,0,1,3,1,0,17,0,23,50,24,146,95,165,243,226111
2019,비금속광,납석,0,2,0,0,0,0,2,0,1,13,11,1,1,30,28,9736
2019,비금속광,활석,0,0,0,0,0,0,0,0,0,14,18,8,2,0,2,1500
2019,비금속광,운모,0,0,0,0,0,0,0,0,5,28,40,20,1,0,28,21010
2019,비금속광,규사,0,0,0,0,0,0,0,0,2,7,0,55,0,29,26,97
2019,비금속광,기타,0,0,0,0,0,0,10,0,2,12,9,9,0,2,62,144
2020,금속광,"금,은,동,연,아연",0,3,0,0,0,0,1,3,43,170,88,74,32,56,122,63122
2020,금속광,"철,망간",0,0,0,0,0,0,2,0,11,45,1,3,3,1,2,2118
2020,금속광,우라늄,0,0,0,0,0,3,0,0,0,0,5,5,0,0,0,106
2020,금속광,기타,1,0,0,3,0,0,0,0,1,31,27,4,37,1,28,2
2020,비금속광,"석탄,흑연",0,0,0,0,0,0,0,1,14,50,7,21,0,20,4,1
2020,비금속광,"규석,장석",0,0,0,11,0,0,0,1,110,175,94,79,105,65,77,28
2020,비금속광,석회석,0,0,0,1,0,0,0,0,6,983,325,29,22,26,105,0
2020,비금속광,"고령토,규조토",0,0,1,2,1,0,17,0,23,52,24,142,86,160,233,210
2020,비금속광,납석,0,2,0,0,0,0,2,0,1,13,11,1,0,29,28,9
2020,비금속광,활석,0,0,0,0,0,0,0,0,0,12,18,8,2,0,2,0
2020,비금속광,운모,0,0,0,0,0,0,0,0,6,31,38,19,1,0,24,3
2020,비금속광,규사,0,0,0,0,0,0,0,0,0,8,0,56,0,29,25,0
2020,비금속광,기타,0,0,0,0,0,0,10,0,3,10,7,9,0,2,61,1
2021,금속광,"금,은,동,연,아연",0,3,0,0,0,0,1,3,40,161,79,70,32,53,103,61
2021,금속광,"철,망간",0,0,0,0,0,0,2,0,11,47,2,3,3,1,1,1
2021,금속광,우라늄,0,0,0,0,0,3,0,0,0,0,3,5,0,0,0,0
2021,금속광,기타,1,0,0,4,0,0,0,0,1,28,18,4,37,1,27,2
2021,비금속광,"석탄,흑연",0,0,0,0,0,0,0,2,16,51,7,22,0,20,4,1
2021,비금속광,"규석,장석",0,0,0,13,0,0,0,1,104,173,87,79,107,66,68,27
2021,비금속광,석회석,0,0,0,1,0,0,0,0,7,972,317,28,22,26,107,0
2021,비금속광,"고령토,규조토",0,0,1,2,2,0,18,0,24,52,15,141,85,160,226,214
2021,비금속광,납석,0,2,0,0,0,0,2,0,1,9,11,1,0,29,19,9
2021,비금속광,활석,0,0,0,0,0,0,0,0,0,13,19,8,2,0,2,0
2021,비금속광,운모,0,0,0,0,0,0,0,0,5,27,36,18,1,0,20,3
2021,비금속광,규사,0,0,0,1,0,0,0,0,0,9,0,55,0,29,25,0
2021,비금속광,기타,0,0,0,0,0,0,10,0,3,9,5,8,0,2,57,1
2022,금속광,"금,은,동,연,아연",0,3,0,0,0,0,1,2,33,131,75,60,23,35,93,59
2022,금속광,"철,망간",0,0,0,0,0,0,0,0,9,44,3,3,0,1,1,1
2022,금속광,우라늄,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2022,금속광,기타,1,0,0,3,0,0,0,0,2,27,14,4,37,1,27,2
2022,비금속광,"석탄,흑연",0,0,0,0,0,0,0,2,15,51,8,26,0,17,8,1
2022,비금속광,"규석,장석",0,0,0,13,0,0,0,1,106,154,88,70,103,66,62,23
2022,비금속광,석회석,0,0,0,0,0,0,0,0,6,964,310,27,14,27,105,0
2022,비금속광,"고령토,규조토",0,0,1,1,2,0,17,2,14,48,14,134,80,156,210,206
2022,비금속광,납석,0,1,0,0,0,0,2,0,0,8,11,1,0,28,16,8
2022,비금속광,활석,0,0,0,0,0,0,0,0,0,14,18,7,2,0,2,0
2022,비금속광,운모,0,0,0,0,0,0,0,0,5,24,32,18,1,0,20,3
2022,비금속광,규사,0,0,0,1,0,0,0,0,0,9,0,53,0,29,25,0
2022,비금속광,기타,0,0,0,0,0,0,10,0,3,9,5,6,1,1,54,1
2023,금속광,"금,은,동,연,아연",0,3,0,0,0,0,0,2,22,111,70,41,15,27,84,61
2023,금속광,"철,망간",0,0,0,0,0,0,0,0,11,37,2,2,0,1,1,3
2023,금속광,우라늄,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2023,금속광,기타,1,0,0,3,0,0,0,0,3,28,12,4,37,1,25,1
2023,비금속광,"석탄,흑연",0,0,0,0,0,0,0,1,11,48,8,19,0,0,5,0
2023,비금속광,"규석,장석",0,0,0,13,0,0,0,1,91,139,79,58,91,61,54,21
2023,비금속광,석회석,0,0,0,0,0,0,0,0,5,957,302,24,14,26,96,0
2023,비금속광,"고령토,규조토",0,0,1,0,2,0,17,2,11,46,14,107,75,150,207,199
2023,비금속광,납석,0,1,0,0,0,0,2,0,0,8,11,1,0,23,16,6
2023,비금속광,활석,0,0,0,0,0,0,0,0,0,13,17,6,2,0,2,0
2023,비금속광,운모,0,0,0,0,0,0,0,0,4,17,29,13,1,0,18,3
2023,비금속광,규사,0,0,0,3,0,0,0,0,0,9,0,52,0,27,25,0
2023,비금속광,기타,0,0,0,0,0,0,10,0,2,9,5,4,0,1,52,1
2024,금속광,"금,은,동,연,아연",0,3,0,0,0,0,0,3,21,102,57,35,14,24,71,55
2024,금속광,"철,망간",0,0,0,0,0,0,0,0,11,39,2,2,0,1,0,3
2024,금속광,우라늄,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2024,금속광,기타,1,0,0,2,0,0,0,0,4,28,13,7,37,1,26,2
2024,비금속광,"석탄,흑연",0,0,0,0,0,0,0,1,11,29,8,18,0,0,5,0
2024,비금속광,"규석,장석",0,0,0,12,0,0,0,1,90,127,79,52,81,58,53,17
2024,비금속광,석회석,0,0,0,0,0,0,0,0,2,945,300,20,12,19,91,0
2024,비금속광,"고령토,규조토",0,0,1,0,1,0,16,2,10,43,13,106,68,148,207,193
2024,비금속광,납석,0,1,0,0,0,0,2,0,0,8,11,1,0,24,16,6
2024,비금속광,활석,0,0,0,0,0,0,0,0,0,13,17,5,2,0,1,0
2024,비금속광,운모,0,0,0,0,0,0,0,0,4,13,29,10,1,0,17,1
2024,비금속광,규사,0,0,0,3,0,0,0,0,0,9,0,51,0,18,25,0
2024,비금속광,기타,0,0,0,0,0,0,10,0,0,9,2,1,0,1,52,0
2025,금속광,"금,은,동,연,아연",0,3,0,0,0,0,0,3,15,92,55,29,10,21,65,53
2025,금속광,"철,망간",0,0,0,0,0,0,0,0,11,34,5,2,0,1,2,3
2025,금속광,우라늄,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
2025,금속광,기타,1,0,0,2,0,0,0,0,3,26,11,7,37,1,27,1
2025,비금속광,"석탄,흑연",0,0,0,0,0,0,0,0,7,13,6,11,0,0,3,0
2025,비금속광,"규석,장석",0,0,0,12,0,0,0,1,80,115,77,49,81,58,56,15
2025,비금속광,석회석,0,0,0,0,0,0,0,0,2,934,302,23,15,19,87,0
2025,비금속광,"고령토,규조토",0,0,1,0,1,0,16,2,9,42,11,102,67,133,205,185
2025,비금속광,납석,0,1,0,0,0,0,2,0,0,7,11,0,0,24,15,6
2025,비금속광,활석,0,0,0,0,0,0,0,0,0,12,16,5,2,0,1,0
2025,비금속광,운모,0,0,0,0,0,0,0,0,3,12,29,10,1,0,15,1
2025,비금속광,규사,0,0,0,3,0,0,0,0,0,9,0,51,0,17,25,0
2025,비금속광,기타,0,0,0,0,0,0,10,0,0,7,2,1,0,1,51,0
