산업분류,소기업,중기업,대기업
01.농업,457,0,0
02.임업,62,0,0
03.어업,542,0,0
06.금속 광업,0,0,0
07.비금속광물 광업; 연료용 제외,0,0,0
10.식료품 제조업,1164,0,0
11.음료 제조업,24,0,0
13.섬유제품 제조업; 의복 제외,286,14,0
"14.의복, 의복 액세서리 및 모피제품 제조업",156,0,0
"15.가죽, 가방 및 신발 제조업",0,0,0
16.목재 및 나무제품 제조업; 가구 제외,189,4,0
"17.펄프, 종이 및 종이제품 제조업",77,3,0
18.인쇄 및 기록매체 복제업,0,0,0
"19.코크스, 연탄 및 석유정제품 제조업",18,4,0
20.화학 물질 및 화학제품 제조업; 의약품 제외,336,23,30
21.의료용 물질 및 의약품 제조업,9,0,0
22.고무 및 플라스틱제품 제조업,306,28,4
23.비금속 광물제품 제조업,204,10,0
24.1차 금속 제조업,265,10,8
25.금속 가공제품 제조업; 기계 및 가구 제외,1970,26,4
"26.전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",114,0,0
"27.의료, 정밀, 광학 기기 및 시계 제조업",424,6,0
28.전기장비 제조업,776,10,3
29.기타 기계 및 장비 제조업,1328,37,6
30.자동차 및 트레일러 제조업,809,73,16
31.기타 운송장비 제조업,703,21,6
32.가구 제조업,279,0,0
33.기타 제품 제조업,0,0,0
34.산업용 기계 및 장비 수리업,386,45,0
"35.전기, 가스, 증기 및 공기 조절 공급업",0,0,0
"37.하수, 폐수 및 분뇨 처리업",0,0,0
"38.폐기물 수집, 운반, 처리 및 원료 재생업",236,37,0
39.환경 정화 및 복원업,0,0,0
41.종합 건설업,1321,0,0
42.전문직별 공사업,10282,55,9
45.자동차 및 부품 판매업,850,12,0
46.도매 및 상품 중개업,7966,228,3
47.소매업; 자동차 제외,24449,100,0
49.육상 운송 및 파이프라인 운송업,12673,0,0
50.수상 운송업,70,6,0
51.항공 운송업,0,0,0
52.창고 및 운송관련 서비스업,830,0,0
55.숙박업,1006,10,0
56.음식점 및 주점업,19792,144,0
58.출판업,508,4,0
59.영상ㆍ오디오 기록물 제작 및 배급업,257,0,0
60.방송업,0,0,0
61.우편 및 통신업,41,0,0
"62.컴퓨터 프로그래밍, 시스템 통합 및 관리업",0,0,0
63.정보서비스업,118,0,0
64.금융업,141,0,0
65.보험 및 연금업,7,0,0
66.금융 및 보험관련 서비스업,551,0,0
68.부동산업,19588,62,10
70.연구개발업,155,0,0
71.전문 서비스업,1353,0,0
"72.건축 기술, 엔지니어링 및 기타 과학기술 서비스업",1639,40,3
"73.기타 전문, 과학 및 기술 서비스업",730,4,0
74.사업시설 관리 및 조경 서비스업,764,0,0
75.사업 지원 서비스업,2071,59,5
76.임대업; 부동산 제외,427,0,0
85.교육 서비스업,6164,31,0
86.보건업,1140,0,0
87.사회복지 서비스업,110,0,0
"90.창작, 예술 및 여가관련 서비스업",0,0,0
91.스포츠 및 오락관련 서비스업,2602,0,0
95.개인 및 소비용품 수리업,2516,80,0
96.기타 개인 서비스업,6870,35,0
