지역명,위치,면적_제곱킬로미터,지정일자,유형
담양 하천습지,"담양군 대전면, 수북면, 황금면",0.981,2004-07-08,하천습지
신안 장도 산지습지,신안군 흑산면,0.09,2004-08-31,산지습지
순천 동천 하구습지,"순천시 교량동, 도사동, 해룡면, 별량면",5.656,2015-12-24,하천습지
섬진강 침실습지,"곡성군 곡성읍, 고달면, 오곡면",2.037,2016-11-07,하천습지
순천와룡산지습지,순천시 와룡동 산 277일원,0.899,2022-12-30,산지습지
무안갯벌,"무안군 현경면, 해제면",113.34,"2001-12-28 ,  2024-12-10(추가지정)",연안습지
진도갯벌,"진도군 군내면, 고군면",1.44,2002-12-28,연안습지
순천만갯벌,"순천시 별량면, 해룡면, 도사동",28,2003-12-31,연안습지
보성벌교갯벌,"보성군 호동리, 장양리, 영등리, 장암리, 대포리",33.92,2003-12-31,연안습지
신안갯벌,신안군 일대,1100.86,2010-01-29,연안습지
고흥갯벌,고흥군 여자만 주변지역 갯벌,59.43,2022-12-29,연안습지
여수갯벌,여수시 여자만 주변지역,38.81,2024-07-30,연안습지
