시군,온천명,위치,발견신고연도,지구구역 지정연도,구분,면적(제곱미터)
청주시,청주온천스파피아,충청북도 청주시 흥덕구 청남로길 2005번길100,2003,2005-01-26,구역,6827
청주시,충북온천,충청북도 청주시 흥덕구 백봉로 171,2011,2015-07-10,구역,3040
청주시,실크리버,충청북도 청주시 서원구 남이면 문곡구 절골길 235,2010,2011-12-31,구역,9800
청주시,로하스파,충청북도 청주시 청원구 오창읍 중심상업로 39,2005,2007-04-03,구역,1810
청주시,두진온천,충청북도 청주시 서원구 사직대로 164번길 16,2015,2017-05-19,구역,810
청주시,미코노스 리조트,충청북도 청주시 상당구 미원면 종암리 산79-,2017,2019-03-22,구역,599
충주시,수안보,충청북도 충주시 수안보면 물탕2길 17,,1981-08-31,지구,8997000
충주시,능암,충청북도 충주시 앙성면 새바지길 37,1985,1987-02-27,지구,234794
충주시,문강,충청북도 충주시 살미면 용천갈마길 45,1993,1995-02-04,지구,2483770
충주시,중원,충청북도 충주시 앙성면 능암리 산18-28,1991,1995-05-24,지구,368343
충주시,연수,충청북도 충주시 연수동 681-11,2016,2016-09-09,구역,1942
제천시,월악,충청북도 제천시 한수면 송계리 783,1991,1993-12-20,지구,1785123
제천시,제천,충청북도 제천시 수산면 적곡리 103,1993,1994-10-25,지구,1770000
제천시,제천봉양옥전,충청북도 제천시 봉양읍 옥전리 274-56,2022,,,0
보은군,갈목,충청북도 보은군 내속리면 갈목길 11-1,2005,,,0
증평군,온세온천,충청북도 증평군 증평읍 미암리 926-2,2002,2017-11-17,지구,290276
단양군,단양,충청북도 단양군 대강면 남조리 12,1992,1994-08-22,지구,1007628
단양군,직티,충청북도 단양군 대강면 직티리 82-13,2004,,,0
