기관구분,기관명,사이트주소
자원관련기관,코리아PDS 국제원자재,https://www.koreapds.com/
자원관련기관,한국석재신문사,https://www.stonepress.co.kr/
자원관련기관,에너지경제신문,https://www.ekn.kr/
국내대학,경북대학교 지질학과,https://geology.knu.ac.kr/
국내대학,인하대학교 에너지자원공학과,https://eneres.inha.ac.kr
국내대학,한양대학교 자원환경공학과,https://nree.hanyang.ac.kr//
국내대학,연세대학교 지구시스템과학과,https://geo.yonsei.ac.kr/
국내대학,안동대학교 지구환경과학과,https://ees.andong.ac.kr/
국내대학,부산대학교 지구환경시스템학부,https://geology.pusan.ac.kr
국내대학,충남대학교 지질환경과학과,https://geo.cnu.ac.kr
국내대학,동아대학교 에너지자공학과,https://donga.dsso.kr
국내대학,공주대학교 지질환경과학과,https://geo.kongju.ac.kr/
국내대학,고려대학교 지구환경과학과,https://ees.korea.ac.kr/
국내대학,전북대학교 자원에너지공학과,https://eng.jbnu.ac.kr/
국내대학,조선대학교 자원공학과,https://www.chosun.ac.kr/ere
국내대학,충북대학교 지구환경과학과,https://geology.chungbuk.ac.kr/
정부기관,한국연구재단,https://www.nrf.re.kr/
정부기관,한국국제협력단,https://www.koica.go.kr/
정부기관,국가정보원,https://www.nis.go.kr/
정부기관,대한상공회의소,https://www.korcham.net/
정부기관,한국석회석가공협동조합,https://www.klime.org/
정부기관,대한무역투자진흥공사,https://www.kotra.or.kr/
정부기관,교육부,https://www.moe.go.kr/
정부기관,산업통상자원부,https://www.motie.go.kr/
정부기관,대한석탄공사,https://www.kocoal.or.kr/
연구기관 및 학회,한국암석학회,https://www.pskorea.or.kr
연구기관 및 학회,한국에너지기술연구원,https://www.kier.re.kr/
연구기관 및 학회,한국해양학회,https://ksocean.or.kr/
연구기관 및 학회,한국광물학회,https://www.mskorea.or.kr/
연구기관 및 학회,한국고생물학회,https://psok.or.kr/
연구기관 및 학회,한국표준과학연구원,https://www.kriss.re.kr/
연구기관 및 학회,대한자원환경지질학회,https://www.kseeg.or.kr/
연구기관 및 학회,대한지질학회,https://www.gskorea.or.kr/
연구기관 및 학회,대한지질공학회,https://www.engeo.or.kr/
연구기관 및 학회,한국지구물리물리탐사학회,https://kseg.jams.or.kr
연구기관 및 학회,한국과학기술정보연구원,https://www.kisti.re.kr/
연구기관 및 학회,한국해양연구원,https://www.kordi.re.kr/
연구기관 및 학회,한국환경정책평가연구원,https://kei.re.kr/
연구기관 및 학회,한국기초과학지원연구원(KBSI),https://www.kbsi.re.kr/
연구기관 및 학회,한국지질자원연구원,https://www.kigam.re.kr/
